2021-04-30 09:34:52.927034
205.0, 60.0, 15.0
2021-04-30 09:37:27.330728, 185.0, 50.0, 14.0, 24090.081969909246
2021-04-30, 185.0, 50.0, 14.0,  24090.1
2021-04-30, 205.0, 60.0, 15.0,  39924.5
2021-04-30, 205.0, 60.0, 15.0,  39924.5
2021-04-30, 500.0, 80.0, 32.0,  762024.7
2021-04-30, 600.0, 90.0, 32.0,  1376982.7
2021-04-30, 432.0, 84.0, 20.0,  428898.9
2021-04-30, 299.0, 75.0, 22.0,  164946.5
2021-04-30, 205.0, 60.0, 15.0,  39924.5
2021-04-30, 205.0, 60.0, 15.0,  39924.5
2021-04-30, 205.0, 55.0, 18.0,  41386.3
